43	247	2008	11	1/1/2017
44	273	2007	4447	1/1/2017
44	273	2008	3556	1/1/2017
44	273	2009	4506	1/1/2017
44	273	2010	4413	1/1/2017
44	273	2011	4380	1/1/2017
43	323	2007	33	1/1/2017
43	323	2008	47	1/1/2017
43	323	2009	48	1/1/2017
43	323	2010	65	1/1/2017
43	323	2011	125	1/1/2017
43	323	2012	212	1/1/2017
43	323	2013	388	1/1/2017
43	323	2014	291	1/1/2017
43	323	2015	500673	1/1/2017
43	323	2016	600492	1/1/2017
43	323	2017	999999	28/4/2017
47	327	2007	3236	1/1/2017
47	327	2008	4114	1/1/2017
47	327	2009	411	1/1/2017
47	327	2010	1545	1/1/2017
47	327	2011	6123	1/1/2017
47	327	2012	8583	1/1/2017
47	327	2013	300093	1/1/2017
30	334	2007	10324	1/1/2017
30	334	2008	4664	1/1/2017
28	348	2007	5221	1/1/2017
28	348	2008	4000	1/1/2017
28	348	2009	4076	1/1/2017
28	348	2010	2527	1/1/2017
28	348	2011	4226	1/1/2017
28	348	2012	2301	1/1/2017
28	348	2013	1598	1/1/2017
28	348	2014	1526	1/1/2017
28	348	2015	1446	1/1/2017
28	348	2016	1005	1/1/2017
28	348	2017	999999	28/4/2017
43	361	2007	406	1/1/2017
24	407	2007	2966	1/1/2017
24	407	2008	3797	1/1/2017
24	407	2009	4104	1/1/2017
24	407	2010	4531	1/1/2017
24	407	2011	5133	1/1/2017
24	407	2012	4669	1/1/2017
24	407	2013	3986	1/1/2017
24	407	2014	4866	1/1/2017
24	407	2015	4356	1/1/2017
24	407	2016	3770	1/1/2017
24	407	2017	999999	28/4/2017
30	419	2007	7234	1/1/2017
30	419	2008	111111	1/1/2017
30	419	2009	80051	1/1/2017
30	419	2010	950	1/1/2017
30	419	2011	1035	1/1/2017
7	428	2007	23105	1/1/2017
7	428	2008	18279	1/1/2017
7	428	2009	9838	1/1/2017
7	428	2010	9785	1/1/2017
7	428	2011	8712	1/1/2017
7	428	2012	958	1/1/2017
19	441	2007	5234	1/1/2017
19	441	2008	4701	1/1/2017
19	441	2009	3941	1/1/2017
19	441	2010	3323	1/1/2017
23	457	2007	64635	1/1/2017
23	457	2008	80207	1/1/2017
23	457	2009	903290	1/1/2017
23	457	2010	53638	1/1/2017
23	457	2011	905577	1/1/2017
23	457	2012	82538	1/1/2017
23	457	2013	18412	1/1/2017
19	467	2007	324	1/1/2017
43	472	2007	225920	1/1/2017
43	472	2008	7914	1/1/2017
43	472	2009	8542	1/1/2017
43	472	2010	9955	1/1/2017
43	472	2011	8672	1/1/2017
43	472	2012	8141	1/1/2017
43	472	2013	9268	1/1/2017
43	472	2014	6897	1/1/2017
43	472	2015	6158	1/1/2017
43	472	2016	6142	1/1/2017
43	472	2017	999999	28/4/2017
17	487	2007	766607	1/1/2017
17	487	2008	899903	1/1/2017
17	487	2009	999325	1/1/2017
17	487	2010	1347	1/1/2017
17	487	2011	1438	1/1/2017
17	487	2012	1501	1/1/2017
17	487	2013	1511	1/1/2017
17	487	2014	1526	1/1/2017
17	487	2015	1328	1/1/2017
17	487	2016	1096	1/1/2017
17	487	2017	999999	28/4/2017
11	491	2007	585	1/1/2017
11	491	2008	752	1/1/2017
11	491	2009	99988	1/1/2017
11	491	2010	502	1/1/2017
11	491	2011	2919	1/1/2017
